title,year,genres,imdb,intent_1,intent_2,cluster_1,cluster_2,joy,sadness,fear,anger,disgust,surprise,trust,anticipation,curiosity,excitement,hope,love,guilt,shame,gratitude,loneliness,confidence,determination,regret,relief,nostalgia,compassion,anxiety,inspiration
Widows,2014,Fantasy|Adventure,6.8,comfort,,engagement,engagement,0.06,0.14,0.08,0.07,0.05,0.06,0.07,0.07,0.07,0.06,0.09,0.07,0.04,0.03,0.06,0.07,0.07,0.08,0.08,0.07,0.07,0.07,0.08,0.07
Finding Dory,2014,Biography|Drama,7.8,romance,adrenaline,dark_intensity,emotional_pain,0.08,0.11,0.07,0.07,0.04,0.06,0.09,0.08,0.07,0.07,0.1,0.06,0.03,0.02,0.07,0.05,0.09,0.1,0.07,0.08,0.06,0.06,0.08,0.08
Wind River,2014,Comedy|Drama,5.9,nostalgia,contemplation,emotional_pain,engagement,0.13,0.09,0.04,0.04,0.02,0.06,0.09,0.07,0.06,0.06,0.11,0.13,0.02,0.01,0.06,0.04,0.08,0.08,0.06,0.06,0.06,0.08,0.06,0.06
Wicked,2014,Sport|Drama,8.7,romance,inspiration,emotional_pain,emotional_pain,0.06,0.14,0.08,0.07,0.05,0.06,0.07,0.07,0.07,0.06,0.09,0.07,0.04,0.03,0.06,0.07,0.07,0.08,0.08,0.07,0.07,0.07,0.08,0.07
Premalu,2014,Sport|Drama,6.0,inspiration,romance,emotional_pain,meaning_growth,0.06,0.14,0.08,0.07,0.05,0.06,0.07,0.07,0.07,0.06,0.09,0.07,0.04,0.03,0.06,0.07,0.07,0.08,0.08,0.07,0.07,0.07,0.08,0.07
Tu Jhoothi Main Makkaar,2014,Sci-Fi|Action,8.5,romance,nostalgia,positive_energy,dark_intensity,0.03,0.08,0.15,0.12,0.08,0.09,0.05,0.09,0.08,0.08,0.05,0.03,0.04,0.03,0.03,0.06,0.06,0.08,0.07,0.08,0.05,0.05,0.11,0.06
Minions,2014,Action|Adventure,6.1,romance,,meaning_growth,emotional_pain,0.03,0.08,0.15,0.12,0.08,0.09,0.05,0.09,0.08,0.08,0.05,0.03,0.04,0.03,0.03,0.06,0.06,0.08,0.07,0.08,0.05,0.05,0.11,0.06
Auron Mein Kahan Dum Tha,2014,War|Drama,6.3,nostalgia,nostalgia,emotional_pain,positive_energy,0.06,0.14,0.08,0.07,0.05,0.06,0.07,0.07,0.07,0.06,0.09,0.07,0.04,0.03,0.06,0.07,0.07,0.08,0.08,0.07,0.07,0.07,0.08,0.07
The Wild Robot,2014,Animation|Comedy,8.9,contemplation,nostalgia,meaning_growth,emotional_pain,0.13,0.09,0.04,0.04,0.02,0.06,0.09,0.07,0.06,0.06,0.11,0.13,0.02,0.01,0.06,0.04,0.08,0.08,0.06,0.06,0.06,0.08,0.06,0.06
Guardians of the Galaxy Vol 3,2014,Romance|Comedy,8.0,comfort,nostalgia,emotional_pain,,0.13,0.09,0.04,0.04,0.02,0.06,0.09,0.07,0.06,0.06,0.11,0.13,0.02,0.01,0.06,0.04,0.08,0.08,0.06,0.06,0.06,0.08,0.06,0.06
Get Out,2014,Sport|Drama,8.9,contemplation,comfort,engagement,emotional_pain,0.06,0.14,0.08,0.07,0.05,0.06,0.07,0.07,0.07,0.06,0.09,0.07,0.04,0.03,0.06,0.07,0.07,0.08,0.08,0.07,0.07,0.07,0.08,0.07
Rush,2014,Thriller|Mystery,7.1,catharsis,adrenaline,meaning_growth,emotional_pain,0.05,0.07,0.13,0.13,0.06,0.08,0.06,0.1,0.06,0.12,0.05,0.03,0.02,0.01,0.02,0.03,0.07,0.1,0.05,0.08,0.04,0.04,0.08,0.05
Jalsa,2014,Comedy|Drama,6.9,romance,comfort,dark_intensity,,0.15,0.07,0.05,0.06,0.04,0.07,0.09,0.08,0.06,0.07,0.1,0.09,0.02,0.01,0.06,0.04,0.08,0.08,0.06,0.06,0.05,0.06,0.06,0.06
Everything Everywhere All at Once,2014,Comedy|Drama,8.4,nostalgia,nostalgia,positive_energy,,0.15,0.07,0.05,0.06,0.04,0.07,0.09,0.08,0.06,0.07,0.1,0.09,0.02,0.01,0.06,0.04,0.08,0.08,0.06,0.06,0.05,0.06,0.06,0.06
American Sniper,2014,Drama|Romance,7.5,contemplation,inspiration,meaning_growth,,0.13,0.09,0.04,0.04,0.02,0.06,0.09,0.07,0.06,0.06,0.11,0.13,0.02,0.01,0.06,0.04,0.08,0.08,0.06,0.06,0.06,0.08,0.06,0.06
Kabir Singh,2014,Musical|Drama,8.9,nostalgia,contemplation,emotional_pain,meaning_growth,0.06,0.14,0.08,0.07,0.05,0.06,0.07,0.07,0.07,0.06,0.09,0.07,0.04,0.03,0.06,0.07,0.07,0.08,0.08,0.07,0.07,0.07,0.08,0.07
Suicide Squad,2014,Fantasy|Adventure,8.6,adrenaline,comfort,engagement,positive_energy,0.06,0.14,0.08,0.07,0.05,0.06,0.07,0.07,0.07,0.06,0.09,0.07,0.04,0.03,0.06,0.07,0.07,0.08,0.08,0.07,0.07,0.07,0.08,0.07
Zootopia,2014,War|Drama,6.5,contemplation,catharsis,dark_intensity,emotional_pain,0.06,0.14,0.08,0.07,0.05,0.06,0.07,0.07,0.07,0.06,0.09,0.07,0.04,0.03,0.06,0.07,0.07,0.08,0.08,0.07,0.07,0.07,0.08,0.07
The Father,2014,Horror|Thriller,5.7,adrenaline,nostalgia,dark_intensity,,0.05,0.07,0.13,0.13,0.06,0.08,0.06,0.1,0.06,0.12,0.05,0.03,0.02,0.01,0.02,0.03,0.07,0.1,0.05,0.08,0.04,0.04,0.08,0.05
Meenakshi Sundareshwar,2014,Sport|Drama,8.7,contemplation,catharsis,emotional_pain,,0.06,0.14,0.08,0.07,0.05,0.06,0.07,0.07,0.07,0.06,0.09,0.07,0.04,0.03,0.06,0.07,0.07,0.08,0.08,0.07,0.07,0.07,0.08,0.07
Freddy,2014,Crime|Drama,6.8,comfort,adrenaline,emotional_pain,positive_energy,0.06,0.14,0.08,0.07,0.05,0.06,0.07,0.07,0.07,0.06,0.09,0.07,0.04,0.03,0.06,0.07,0.07,0.08,0.08,0.07,0.07,0.07,0.08,0.07
Bajrangi Bhaijaan,2014,Horror|Thriller,5.3,romance,inspiration,emotional_pain,,0.03,0.08,0.15,0.12,0.08,0.09,0.05,0.09,0.08,0.08,0.05,0.03,0.04,0.03,0.03,0.06,0.06,0.08,0.07,0.08,0.05,0.05,0.11,0.06
Dobaaraa,2014,Documentary,8.4,contemplation,nostalgia,emotional_pain,engagement,0.06,0.14,0.08,0.07,0.05,0.06,0.07,0.07,0.07,0.06,0.09,0.07,0.04,0.03,0.06,0.07,0.07,0.08,0.08,0.07,0.07,0.07,0.08,0.07
War for the Planet of the Apes,2014,Biography|Drama,6.5,romance,inspiration,positive_energy,engagement,0.08,0.11,0.07,0.07,0.04,0.06,0.09,0.08,0.07,0.07,0.1,0.06,0.03,0.02,0.07,0.05,0.09,0.1,0.07,0.08,0.06,0.06,0.08,0.08
Major,2014,Western|Action,6.1,inspiration,adrenaline,dark_intensity,,0.03,0.08,0.15,0.12,0.08,0.09,0.05,0.09,0.08,0.08,0.05,0.03,0.04,0.03,0.03,0.06,0.06,0.08,0.07,0.08,0.05,0.05,0.11,0.06
Her,2014,Fantasy|Adventure,8.1,contemplation,comfort,meaning_growth,,0.06,0.14,0.08,0.07,0.05,0.06,0.07,0.07,0.07,0.06,0.09,0.07,0.04,0.03,0.06,0.07,0.07,0.08,0.08,0.07,0.07,0.07,0.08,0.07
All Quiet on the Western Front,2014,Animation|Comedy,7.5,comfort,romance,engagement,,0.13,0.09,0.04,0.04,0.02,0.06,0.09,0.07,0.06,0.06,0.11,0.13,0.02,0.01,0.06,0.04,0.08,0.08,0.06,0.06,0.06,0.08,0.06,0.06
Furiosa,2014,Fantasy|Adventure,8.2,adrenaline,comfort,meaning_growth,engagement,0.06,0.14,0.08,0.07,0.05,0.06,0.07,0.07,0.07,0.06,0.09,0.07,0.04,0.03,0.06,0.07,0.07,0.08,0.08,0.07,0.07,0.07,0.08,0.07
Yodha,2014,Fantasy|Adventure,6.3,catharsis,romance,meaning_growth,meaning_growth,0.06,0.14,0.08,0.07,0.05,0.06,0.07,0.07,0.07,0.06,0.09,0.07,0.04,0.03,0.06,0.07,0.07,0.08,0.08,0.07,0.07,0.07,0.08,0.07
Blade Runner 2049,2014,War|Drama,7.1,romance,romance,positive_energy,emotional_pain,0.06,0.14,0.08,0.07,0.05,0.06,0.07,0.07,0.07,0.06,0.09,0.07,0.04,0.03,0.06,0.07,0.07,0.08,0.08,0.07,0.07,0.07,0.08,0.07
Solo A Star Wars Story,2014,Fantasy|Adventure,8.0,romance,contemplation,emotional_pain,engagement,0.06,0.14,0.08,0.07,0.05,0.06,0.07,0.07,0.07,0.06,0.09,0.07,0.04,0.03,0.06,0.07,0.07,0.08,0.08,0.07,0.07,0.07,0.08,0.07
Red Sparrow,2014,Sci-Fi|Action,8.0,contemplation,nostalgia,dark_intensity,positive_energy,0.05,0.07,0.13,0.13,0.06,0.08,0.06,0.1,0.06,0.12,0.05,0.03,0.02,0.01,0.02,0.03,0.07,0.1,0.05,0.08,0.04,0.04,0.08,0.05
Zara Hatke Zara Bachke,2014,Western|Action,5.1,inspiration,contemplation,emotional_pain,positive_energy,0.03,0.08,0.15,0.12,0.08,0.09,0.05,0.09,0.08,0.08,0.05,0.03,0.04,0.03,0.03,0.06,0.06,0.08,0.07,0.08,0.05,0.05,0.11,0.06
Amsterdam,2015,Western|Action,8.3,romance,contemplation,meaning_growth,emotional_pain,0.05,0.07,0.13,0.13,0.06,0.08,0.06,0.1,0.06,0.12,0.05,0.03,0.02,0.01,0.02,0.03,0.07,0.1,0.05,0.08,0.04,0.04,0.08,0.05
Padmaavat,2015,Romance|Comedy,8.7,contemplation,contemplation,emotional_pain,,0.15,0.07,0.05,0.06,0.04,0.07,0.09,0.08,0.06,0.07,0.1,0.09,0.02,0.01,0.06,0.04,0.08,0.08,0.06,0.06,0.05,0.06,0.06,0.06
Captain America Civil War,2015,Musical|Drama,5.5,adrenaline,adrenaline,positive_energy,emotional_pain,0.06,0.14,0.08,0.07,0.05,0.06,0.07,0.07,0.07,0.06,0.09,0.07,0.04,0.03,0.06,0.07,0.07,0.08,0.08,0.07,0.07,0.07,0.08,0.07
Nightcrawler,2015,Thriller|Mystery,5.4,inspiration,romance,emotional_pain,emotional_pain,0.03,0.08,0.15,0.12,0.08,0.09,0.05,0.09,0.08,0.08,0.05,0.03,0.04,0.03,0.03,0.06,0.06,0.08,0.07,0.08,0.05,0.05,0.11,0.06
How to Train Your Dragon Live Action,2015,Musical|Drama,7.3,comfort,romance,emotional_pain,,0.06,0.14,0.08,0.07,0.05,0.06,0.07,0.07,0.07,0.06,0.09,0.07,0.04,0.03,0.06,0.07,0.07,0.08,0.08,0.07,0.07,0.07,0.08,0.07
Jhund,2015,Thriller|Mystery,8.3,inspiration,nostalgia,positive_energy,engagement,0.03,0.08,0.15,0.12,0.08,0.09,0.05,0.09,0.08,0.08,0.05,0.03,0.04,0.03,0.03,0.06,0.06,0.08,0.07,0.08,0.05,0.05,0.11,0.06
Bajirao Mastani,2015,Animation|Comedy,6.8,contemplation,comfort,engagement,,0.15,0.07,0.05,0.06,0.04,0.07,0.09,0.08,0.06,0.07,0.1,0.09,0.02,0.01,0.06,0.04,0.08,0.08,0.06,0.06,0.05,0.06,0.06,0.06
Jungle Cruise,2015,War|Drama,5.2,romance,catharsis,engagement,emotional_pain,0.06,0.14,0.08,0.07,0.05,0.06,0.07,0.07,0.07,0.06,0.09,0.07,0.04,0.03,0.06,0.07,0.07,0.08,0.08,0.07,0.07,0.07,0.08,0.07
Philomena,2015,Comedy|Drama,7.7,comfort,adrenaline,engagement,positive_energy,0.13,0.09,0.04,0.04,0.02,0.06,0.09,0.07,0.06,0.06,0.11,0.13,0.02,0.01,0.06,0.04,0.08,0.08,0.06,0.06,0.06,0.08,0.06,0.06
Transformers Rise of the Beasts,2015,Sci-Fi|Action,8.1,contemplation,contemplation,dark_intensity,meaning_growth,0.05,0.07,0.13,0.13,0.06,0.08,0.06,0.1,0.06,0.12,0.05,0.03,0.02,0.01,0.02,0.03,0.07,0.1,0.05,0.08,0.04,0.04,0.08,0.05
Thunivu,2015,Biography|Drama,6.3,contemplation,adrenaline,positive_energy,meaning_growth,0.08,0.11,0.07,0.07,0.04,0.06,0.09,0.08,0.07,0.07,0.1,0.06,0.03,0.02,0.07,0.05,0.09,0.1,0.07,0.08,0.06,0.06,0.08,0.08
IB 71,2015,Sci-Fi|Action,7.2,nostalgia,romance,engagement,,0.05,0.07,0.13,0.13,0.06,0.08,0.06,0.1,0.06,0.12,0.05,0.03,0.02,0.01,0.02,0.03,0.07,0.1,0.05,0.08,0.04,0.04,0.08,0.05
Fantastic Four,2015,Sci-Fi|Action,5.1,nostalgia,catharsis,dark_intensity,positive_energy,0.05,0.07,0.13,0.13,0.06,0.08,0.06,0.1,0.06,0.12,0.05,0.03,0.02,0.01,0.02,0.03,0.07,0.1,0.05,0.08,0.04,0.04,0.08,0.05
Satyaprem Ki Katha,2015,Horror|Thriller,6.1,contemplation,nostalgia,dark_intensity,engagement,0.05,0.07,0.13,0.13,0.06,0.08,0.06,0.1,0.06,0.12,0.05,0.03,0.02,0.01,0.02,0.03,0.07,0.1,0.05,0.08,0.04,0.04,0.08,0.05
Joker,2015,Sport|Drama,6.8,romance,contemplation,emotional_pain,dark_intensity,0.06,0.14,0.08,0.07,0.05,0.06,0.07,0.07,0.07,0.06,0.09,0.07,0.04,0.03,0.06,0.07,0.07,0.08,0.08,0.07,0.07,0.07,0.08,0.07
Afwaah,2015,Biography|Drama,8.8,adrenaline,inspiration,emotional_pain,,0.08,0.11,0.07,0.07,0.04,0.06,0.09,0.08,0.07,0.07,0.1,0.06,0.03,0.02,0.07,0.05,0.09,0.1,0.07,0.08,0.06,0.06,0.08,0.08
Tanhaji,2015,Action|Adventure,5.2,catharsis,nostalgia,emotional_pain,,0.05,0.07,0.13,0.13,0.06,0.08,0.06,0.1,0.06,0.12,0.05,0.03,0.02,0.01,0.02,0.03,0.07,0.1,0.05,0.08,0.04,0.04,0.08,0.05
Judy,2015,Sport|Drama,7.8,catharsis,contemplation,engagement,positive_energy,0.06,0.14,0.08,0.07,0.05,0.06,0.07,0.07,0.07,0.06,0.09,0.07,0.04,0.03,0.06,0.07,0.07,0.08,0.08,0.07,0.07,0.07,0.08,0.07
Encanto,2015,Sci-Fi|Action,5.3,romance,comfort,emotional_pain,dark_intensity,0.03,0.08,0.15,0.12,0.08,0.09,0.05,0.09,0.08,0.08,0.05,0.03,0.04,0.03,0.03,0.06,0.06,0.08,0.07,0.08,0.05,0.05,0.11,0.06
Zindagi Na Milegi Dobara,2015,Documentary,7.0,catharsis,contemplation,engagement,,0.06,0.14,0.08,0.07,0.05,0.06,0.07,0.07,0.07,0.06,0.09,0.07,0.04,0.03,0.06,0.07,0.07,0.08,0.08,0.07,0.07,0.07,0.08,0.07
Glass Onion,2015,Animation|Comedy,6.7,contemplation,nostalgia,positive_energy,emotional_pain,0.15,0.07,0.05,0.06,0.04,0.07,0.09,0.08,0.06,0.07,0.1,0.09,0.02,0.01,0.06,0.04,0.08,0.08,0.06,0.06,0.05,0.06,0.06,0.06
Govinda Naam Mera,2015,Musical|Drama,7.9,romance,nostalgia,positive_energy,,0.06,0.14,0.08,0.07,0.05,0.06,0.07,0.07,0.07,0.06,0.09,0.07,0.04,0.03,0.06,0.07,0.07,0.08,0.08,0.07,0.07,0.07,0.08,0.07
Maleficent,2015,Crime|Drama,6.5,contemplation,,engagement,engagement,0.06,0.14,0.08,0.07,0.05,0.06,0.07,0.07,0.07,0.06,0.09,0.07,0.04,0.03,0.06,0.07,0.07,0.08,0.08,0.07,0.07,0.07,0.08,0.07
BlacKkKlansman,2015,Comedy|Drama,5.4,adrenaline,comfort,meaning_growth,dark_intensity,0.13,0.09,0.04,0.04,0.02,0.06,0.09,0.07,0.06,0.06,0.11,0.13,0.02,0.01,0.06,0.04,0.08,0.08,0.06,0.06,0.06,0.08,0.06,0.06
Enola Holmes,2015,Romance|Comedy,7.7,catharsis,comfort,emotional_pain,,0.13,0.09,0.04,0.04,0.02,0.06,0.09,0.07,0.06,0.06,0.11,0.13,0.02,0.01,0.06,0.04,0.08,0.08,0.06,0.06,0.06,0.08,0.06,0.06
Brahmastra,2015,Fantasy|Adventure,7.4,romance,contemplation,dark_intensity,dark_intensity,0.06,0.14,0.08,0.07,0.05,0.06,0.07,0.07,0.07,0.06,0.09,0.07,0.04,0.03,0.06,0.07,0.07,0.08,0.08,0.07,0.07,0.07,0.08,0.07
Vice,2015,Animation|Comedy,5.6,catharsis,catharsis,engagement,positive_energy,0.15,0.07,0.05,0.06,0.04,0.07,0.09,0.08,0.06,0.07,0.1,0.09,0.02,0.01,0.06,0.04,0.08,0.08,0.06,0.06,0.05,0.06,0.06,0.06
Dunki,2015,Thriller|Mystery,8.1,inspiration,catharsis,emotional_pain,dark_intensity,0.05,0.07,0.13,0.13,0.06,0.08,0.06,0.1,0.06,0.12,0.05,0.03,0.02,0.01,0.02,0.03,0.07,0.1,0.05,0.08,0.04,0.04,0.08,0.05
Night Swim,2015,Crime|Drama,5.1,romance,inspiration,positive_energy,positive_energy,0.06,0.14,0.08,0.07,0.05,0.06,0.07,0.07,0.07,0.06,0.09,0.07,0.04,0.03,0.06,0.07,0.07,0.08,0.08,0.07,0.07,0.07,0.08,0.07
I Tonya,2015,Action|Adventure,5.7,contemplation,nostalgia,engagement,meaning_growth,0.05,0.07,0.13,0.13,0.06,0.08,0.06,0.1,0.06,0.12,0.05,0.03,0.02,0.01,0.02,0.03,0.07,0.1,0.05,0.08,0.04,0.04,0.08,0.05
The Fabelmans,2015,Comedy|Drama,8.0,contemplation,nostalgia,emotional_pain,emotional_pain,0.15,0.07,0.05,0.06,0.04,0.07,0.09,0.08,0.06,0.07,0.1,0.09,0.02,0.01,0.06,0.04,0.08,0.08,0.06,0.06,0.05,0.06,0.06,0.06
Monica O My Darling,2015,Horror|Thriller,6.5,comfort,comfort,dark_intensity,dark_intensity,0.05,0.07,0.13,0.13,0.06,0.08,0.06,0.1,0.06,0.12,0.05,0.03,0.02,0.01,0.02,0.03,0.07,0.1,0.05,0.08,0.04,0.04,0.08,0.05
Adipurush,2015,Drama|Romance,5.6,nostalgia,adrenaline,engagement,positive_energy,0.15,0.07,0.05,0.06,0.04,0.07,0.09,0.08,0.06,0.07,0.1,0.09,0.02,0.01,0.06,0.04,0.08,0.08,0.06,0.06,0.05,0.06,0.06,0.06
The Killer,2015,Musical|Drama,6.9,catharsis,nostalgia,positive_energy,meaning_growth,0.06,0.14,0.08,0.07,0.05,0.06,0.07,0.07,0.07,0.06,0.09,0.07,0.04,0.03,0.06,0.07,0.07,0.08,0.08,0.07,0.07,0.07,0.08,0.07
Independence Day Resurgence,2015,Thriller|Mystery,6.4,adrenaline,inspiration,dark_intensity,emotional_pain,0.03,0.08,0.15,0.12,0.08,0.09,0.05,0.09,0.08,0.08,0.05,0.03,0.04,0.03,0.03,0.06,0.06,0.08,0.07,0.08,0.05,0.05,0.11,0.06
How to Train Your Dragon 2,2015,Drama|Romance,5.9,inspiration,adrenaline,engagement,meaning_growth,0.15,0.07,0.05,0.06,0.04,0.07,0.09,0.08,0.06,0.07,0.1,0.09,0.02,0.01,0.06,0.04,0.08,0.08,0.06,0.06,0.05,0.06,0.06,0.06
Shivaji Surathkal 2,2015,Animation|Comedy,8.1,nostalgia,inspiration,positive_energy,positive_energy,0.13,0.09,0.04,0.04,0.02,0.06,0.09,0.07,0.06,0.06,0.11,0.13,0.02,0.01,0.06,0.04,0.08,0.08,0.06,0.06,0.06,0.08,0.06,0.06
Kraven the Hunter,2015,Action|Adventure,7.0,catharsis,romance,meaning_growth,emotional_pain,0.05,0.07,0.13,0.13,0.06,0.08,0.06,0.1,0.06,0.12,0.05,0.03,0.02,0.01,0.02,0.03,0.07,0.1,0.05,0.08,0.04,0.04,0.08,0.05
Varisu,2015,War|Drama,5.3,nostalgia,adrenaline,emotional_pain,engagement,0.06,0.14,0.08,0.07,0.05,0.06,0.07,0.07,0.07,0.06,0.09,0.07,0.04,0.03,0.06,0.07,0.07,0.08,0.08,0.07,0.07,0.07,0.08,0.07
Star Trek Into Darkness,2015,Documentary,8.7,nostalgia,comfort,dark_intensity,emotional_pain,0.06,0.14,0.08,0.07,0.05,0.06,0.07,0.07,0.07,0.06,0.09,0.07,0.04,0.03,0.06,0.07,0.07,0.08,0.08,0.07,0.07,0.07,0.08,0.07
Leo,2015,Western|Action,7.8,catharsis,inspiration,engagement,emotional_pain,0.05,0.07,0.13,0.13,0.06,0.08,0.06,0.1,0.06,0.12,0.05,0.03,0.02,0.01,0.02,0.03,0.07,0.1,0.05,0.08,0.04,0.04,0.08,0.05
Ready Player One,2015,Romance|Comedy,5.7,inspiration,,positive_energy,engagement,0.15,0.07,0.05,0.06,0.04,0.07,0.09,0.08,0.06,0.07,0.1,0.09,0.02,0.01,0.06,0.04,0.08,0.08,0.06,0.06,0.05,0.06,0.06,0.06
Gladiator II,2015,Thriller|Mystery,6.0,inspiration,nostalgia,dark_intensity,engagement,0.03,0.08,0.15,0.12,0.08,0.09,0.05,0.09,0.08,0.08,0.05,0.03,0.04,0.03,0.03,0.06,0.06,0.08,0.07,0.08,0.05,0.05,0.11,0.06
Salaar,2015,Fantasy|Adventure,8.0,contemplation,comfort,meaning_growth,engagement,0.06,0.14,0.08,0.07,0.05,0.06,0.07,0.07,0.07,0.06,0.09,0.07,0.04,0.03,0.06,0.07,0.07,0.08,0.08,0.07,0.07,0.07,0.08,0.07
Sully,2015,Thriller|Mystery,7.1,contemplation,comfort,positive_energy,,0.05,0.07,0.13,0.13,0.06,0.08,0.06,0.1,0.06,0.12,0.05,0.03,0.02,0.01,0.02,0.03,0.07,0.1,0.05,0.08,0.04,0.04,0.08,0.05
Boyhood,2015,Biography|Drama,5.4,romance,catharsis,meaning_growth,dark_intensity,0.08,0.11,0.07,0.07,0.04,0.06,0.09,0.08,0.07,0.07,0.1,0.06,0.03,0.02,0.07,0.05,0.09,0.1,0.07,0.08,0.06,0.06,0.08,0.08
Fast X,2015,Sci-Fi|Action,8.0,comfort,contemplation,meaning_growth,,0.03,0.08,0.15,0.12,0.08,0.09,0.05,0.09,0.08,0.08,0.05,0.03,0.04,0.03,0.03,0.06,0.06,0.08,0.07,0.08,0.05,0.05,0.11,0.06
Jojo Rabbit,2015,Documentary,8.0,nostalgia,,dark_intensity,,0.06,0.14,0.08,0.07,0.05,0.06,0.07,0.07,0.07,0.06,0.09,0.07,0.04,0.03,0.06,0.07,0.07,0.08,0.08,0.07,0.07,0.07,0.08,0.07
The Worst Person in the World,2015,Romance|Comedy,8.5,comfort,comfort,meaning_growth,emotional_pain,0.13,0.09,0.04,0.04,0.02,0.06,0.09,0.07,0.06,0.06,0.11,0.13,0.02,0.01,0.06,0.04,0.08,0.08,0.06,0.06,0.06,0.08,0.06,0.06
Shershaah,2015,Sport|Drama,6.8,romance,inspiration,dark_intensity,engagement,0.06,0.14,0.08,0.07,0.05,0.06,0.07,0.07,0.07,0.06,0.09,0.07,0.04,0.03,0.06,0.07,0.07,0.08,0.08,0.07,0.07,0.07,0.08,0.07
The Hobbit The Desolation of Smaug,2016,War|Drama,7.0,romance,,emotional_pain,engagement,0.06,0.14,0.08,0.07,0.05,0.06,0.07,0.07,0.07,0.06,0.09,0.07,0.04,0.03,0.06,0.07,0.07,0.08,0.08,0.07,0.07,0.07,0.08,0.07
Thappad,2016,Drama|Romance,6.5,romance,contemplation,engagement,dark_intensity,0.15,0.07,0.05,0.06,0.04,0.07,0.09,0.08,0.06,0.07,0.1,0.09,0.02,0.01,0.06,0.04,0.08,0.08,0.06,0.06,0.05,0.06,0.06,0.06
Air,2016,Documentary,7.3,nostalgia,adrenaline,emotional_pain,dark_intensity,0.06,0.14,0.08,0.07,0.05,0.06,0.07,0.07,0.07,0.06,0.09,0.07,0.04,0.03,0.06,0.07,0.07,0.08,0.08,0.07,0.07,0.07,0.08,0.07
Blue Jasmine,2016,Animation|Comedy,6.3,catharsis,romance,engagement,emotional_pain,0.13,0.09,0.04,0.04,0.02,0.06,0.09,0.07,0.06,0.06,0.11,0.13,0.02,0.01,0.06,0.04,0.08,0.08,0.06,0.06,0.06,0.08,0.06,0.06
Man of Steel,2016,Romance|Comedy,8.9,adrenaline,romance,engagement,meaning_growth,0.15,0.07,0.05,0.06,0.04,0.07,0.09,0.08,0.06,0.07,0.1,0.09,0.02,0.01,0.06,0.04,0.08,0.08,0.06,0.06,0.05,0.06,0.06,0.06
Civil War,2016,Documentary,7.1,inspiration,romance,positive_energy,positive_energy,0.06,0.14,0.08,0.07,0.05,0.06,0.07,0.07,0.07,0.06,0.09,0.07,0.04,0.03,0.06,0.07,0.07,0.08,0.08,0.07,0.07,0.07,0.08,0.07
Aavesham,2016,Fantasy|Adventure,6.5,nostalgia,comfort,dark_intensity,engagement,0.06,0.14,0.08,0.07,0.05,0.06,0.07,0.07,0.07,0.06,0.09,0.07,0.04,0.03,0.06,0.07,0.07,0.08,0.08,0.07,0.07,0.07,0.08,0.07
Dream Girl 2,2016,Romance|Comedy,5.3,adrenaline,nostalgia,positive_energy,positive_energy,0.13,0.09,0.04,0.04,0.02,0.06,0.09,0.07,0.06,0.06,0.11,0.13,0.02,0.01,0.06,0.04,0.08,0.08,0.06,0.06,0.06,0.08,0.06,0.06
Rebecca,2016,Romance|Comedy,5.3,comfort,romance,positive_energy,positive_energy,0.15,0.07,0.05,0.06,0.04,0.07,0.09,0.08,0.06,0.07,0.1,0.09,0.02,0.01,0.06,0.04,0.08,0.08,0.06,0.06,0.05,0.06,0.06,0.06
Dark Phoenix,2016,Sci-Fi|Action,7.4,adrenaline,inspiration,dark_intensity,emotional_pain,0.03,0.08,0.15,0.12,0.08,0.09,0.05,0.09,0.08,0.08,0.05,0.03,0.04,0.03,0.03,0.06,0.06,0.08,0.07,0.08,0.05,0.05,0.11,0.06
Hanu-Man,2016,Sci-Fi|Action,7.7,nostalgia,contemplation,emotional_pain,dark_intensity,0.03,0.08,0.15,0.12,0.08,0.09,0.05,0.09,0.08,0.08,0.05,0.03,0.04,0.03,0.03,0.06,0.06,0.08,0.07,0.08,0.05,0.05,0.11,0.06
Selma,2016,Action|Adventure,6.5,contemplation,catharsis,positive_energy,emotional_pain,0.05,0.07,0.13,0.13,0.06,0.08,0.06,0.1,0.06,0.12,0.05,0.03,0.02,0.01,0.02,0.03,0.07,0.1,0.05,0.08,0.04,0.04,0.08,0.05
The Favourite,2016,Biography|Drama,9.0,contemplation,contemplation,positive_energy,engagement,0.08,0.11,0.07,0.07,0.04,0.06,0.09,0.08,0.07,0.07,0.1,0.06,0.03,0.02,0.07,0.05,0.09,0.1,0.07,0.08,0.06,0.06,0.08,0.08
Joker Folie à Deux,2016,Drama|Romance,7.6,nostalgia,romance,dark_intensity,emotional_pain,0.13,0.09,0.04,0.04,0.02,0.06,0.09,0.07,0.06,0.06,0.11,0.13,0.02,0.01,0.06,0.04,0.08,0.08,0.06,0.06,0.06,0.08,0.06,0.06
Spectre,2016,Horror|Thriller,5.7,comfort,romance,emotional_pain,engagement,0.03,0.08,0.15,0.12,0.08,0.09,0.05,0.09,0.08,0.08,0.05,0.03,0.04,0.03,0.03,0.06,0.06,0.08,0.07,0.08,0.05,0.05,0.11,0.06
Big Hero 6,2016,War|Drama,7.7,contemplation,,dark_intensity,positive_energy,0.06,0.14,0.08,0.07,0.05,0.06,0.07,0.07,0.07,0.06,0.09,0.07,0.04,0.03,0.06,0.07,0.07,0.08,0.08,0.07,0.07,0.07,0.08,0.07
